#Wave,F444W
#micron,el/phot
2.000466386000000263e+00,2.211648085156418777e-10
2.002074477999999935e+00,1.994615635887385691e-10
2.003682570000000052e+00,1.809638082873521168e-10
2.005290662000000168e+00,1.653308872338284374e-10
2.006898753999999840e+00,1.517830527286284491e-10
2.008506845999999957e+00,1.408914770630800282e-10
2.010114938000000073e+00,1.315457981860946142e-10
2.011723030000000190e+00,1.231297185258668632e-10
2.013331121999999862e+00,1.166280212936358343e-10
2.014939213999999978e+00,1.113450455599710159e-10
2.016547306000000095e+00,1.051217140044620985e-10
2.018155398000000211e+00,1.005538138587424402e-10
2.019763489999999884e+00,9.524144756845546177e-11
2.021371582000000000e+00,9.140448640161341009e-11
2.022979674000000117e+00,8.777830941205369473e-11
2.024587766000000233e+00,8.326738170615940448e-11
2.026195857999999905e+00,8.029787739391160744e-11
2.027803948999999939e+00,7.771457239667036407e-11
2.029412041000000055e+00,7.540514052563273484e-11
2.031020133000000172e+00,7.343827793215742015e-11
2.032628224999999844e+00,7.188519222736800104e-11
2.034236316999999961e+00,6.976081917838663125e-11
2.035844409000000077e+00,6.885142247877480771e-11
2.037452501000000193e+00,6.824847866122143772e-11
2.039060592999999866e+00,6.804524422193126068e-11
2.040668684999999982e+00,6.873121798532079801e-11
2.042276777000000099e+00,6.888101399762545146e-11
2.043884868999999771e+00,6.924788934719777514e-11
2.045492960999999887e+00,6.984481643282755724e-11
2.047101053000000004e+00,7.068515988478128999e-11
2.048709144999999676e+00,7.236726792944803782e-11
2.050317237000000237e+00,7.414995068839413691e-11
2.051925329000000353e+00,7.598886057499656175e-11
2.053533421000000025e+00,7.904458320887495191e-11
2.055141513000000142e+00,8.177315407350098546e-11
2.056749604999999814e+00,8.557963326180142779e-11
2.058357696999999931e+00,8.947027029456742021e-11
2.059965787999999964e+00,9.445508028983783699e-11
2.061573880000000081e+00,9.983616988407233058e-11
2.063181971999999753e+00,1.056844498137135111e-10
2.064790063999999870e+00,1.124639762058521669e-10
2.066398155999999986e+00,1.202921804992055132e-10
2.068006248000000102e+00,1.290860394295786846e-10
2.069614340000000219e+00,1.387744292242315972e-10
2.071222431999999891e+00,1.498430115516536615e-10
2.072830524000000008e+00,1.639476350808338713e-10
2.074438616000000124e+00,1.787539134058551402e-10
2.076046707999999796e+00,1.970725816068450117e-10
2.077654799999999913e+00,2.169043180141916987e-10
2.079262892000000029e+00,2.412782108283850458e-10
2.080870984000000146e+00,2.693531555881945349e-10
2.082479076000000262e+00,3.002069676305510473e-10
2.084087167999999934e+00,3.380292347813393796e-10
2.085695260000000051e+00,3.822911183001709888e-10
2.087303351999999723e+00,4.340497071950090526e-10
2.088911443999999840e+00,4.946644349896134376e-10
2.090519535999999956e+00,5.669218919719307363e-10
